Control ID,Industry,Process,Sub-process,Risk ID,Risk,Risk rating,Control objective,Control description,Control type,Control nature,Frequency,Assertions,COSO component,Key control,Fraud relevant,Control owner,Segregation of duties,Test of design,Test of operating effectiveness,Population / evidence source,Sample size guidance
HSP-03,Hospitality and hotels,Rooms Revenue,Loyalty and Advance Deposits,R-HSP-03,"Advance deposits and loyalty point liabilities are not recognised, understating liabilities and overstating revenue.",Medium,Ensure advance deposits and loyalty obligations are recorded until the stay is delivered.,"Monthly, the Financial Controller reconciles the advance deposit and loyalty liability accounts to the property management and loyalty systems, and reviews the ageing of deposits held for stays that have already passed.",Detective,IT-Dependent Manual,Monthly,"C, CO",Control Activities,Yes,No,Financial Controller,Reconciliation preparer does not process deposit refunds.,Inspect the reconciliation template and the ageing review of expired deposits.,"For a sample of months, re-perform the reconciliation and test the release of aged deposits to revenue.",Monthly deposit and loyalty reconciliations,3 of 12 months
HSP-04,Hospitality and hotels,Property Operations,Capital Projects and FF&E,R-HSP-04,"Refurbishment spend is capitalised when it is repair in nature, or project costs exceed approved budgets without escalation.",Medium,"Ensure property capital expenditure is authorised, correctly classified and monitored against budget.","Each capital project is approved against a business case at the authority level set by value; monthly, the Project Accountant reports actual against approved spend, and the Controller reviews the capital versus repairs classification for material additions before posting.",Preventive,Manual,Monthly,"E/O, A/V",Control Activities,Yes,No,Financial Controller,Project managers requesting spend do not approve capitalisation treatment.,Inspect the capital approval framework and the classification review process.,"For a sample of additions, agree to approval, inspect the classification assessment and agree spend to budget.",Capital additions and monthly project reports,25 additions
ECM-01,E-commerce,Online Revenue,Payment Gateway Reconciliation,R-ECM-01,"Amounts collected by payment providers do not reconcile to orders recorded, so revenue and cash are misstated and shortfalls go undetected.",High,Ensure all customer orders are matched to settled funds and differences are investigated.,"Daily, the Revenue Operations Analyst reconciles order value in the commerce platform to gateway settlement reports and to bank credits, and unmatched items are aged and escalated to the Financial Controller weekly.",Detective,IT-Dependent Manual,Daily,"C, E/O, A/V",Control Activities,Yes,Yes,Financial Controller,The person performing the reconciliation cannot post adjustments without review.,"Inspect the three-way reconciliation design between platform, gateway and bank.","For a sample of days, re-perform the reconciliation and inspect resolution of unmatched items.",Daily gateway reconciliations,25 days
ECM-02,E-commerce,Online Revenue,Chargebacks and Payment Fraud,R-ECM-02,"Fraudulent orders are fulfilled and later charged back, and losses are absorbed without adjusting fraud screening rules.",High,Ensure fraud screening operates effectively and chargeback losses are monitored and acted on.,"Orders are scored by the fraud screening engine before fulfilment, with holds above the risk threshold reviewed manually; monthly, the Risk Manager analyses chargeback reason codes and rates by channel and reports rule changes to the Financial Controller.",Preventive,IT-Dependent Manual,Per Transaction,"E/O, A/V",Control Activities,Yes,Yes,Risk Manager,"Manual release of held orders is performed by risk staff, not by sales or fulfilment.","Inspect the screening rule set, threshold configuration and manual review workflow.",Select a sample of released high-risk orders and inspect the documented review; recompute chargeback rates.,Held-order review records and monthly chargeback analyses,40 released orders
ECM-03,E-commerce,Fulfilment,Returns and Refunds,R-ECM-03,"Refunds are issued without the goods being returned, or are issued to accounts other than the original payment method.",High,Ensure refunds are issued only for validated returns and to the original payment method.,"The commerce platform restricts refunds to the original payment method and requires a matched return receipt in the warehouse system; refunds without a matched return require supervisor approval, and a daily exception report of these is reviewed by the Customer Operations Manager.",Preventive,IT-Dependent Manual,Per Transaction,"E/O, A/V",Control Activities,Yes,Yes,Customer Operations Manager,Agents issuing refunds cannot amend the return receipt record.,Inspect the refund workflow configuration and the exception approval path.,Select a sample of refunds; agree to matched returns or documented supervisor approval.,All refunds issued in the period,40 refunds
ECM-04,E-commerce,Marketplace & Content,Third-Party Seller Settlements,R-ECM-04,"Marketplace seller settlements are calculated on incorrect commission or fee terms, misstating net revenue and seller payables.",Medium,Ensure marketplace settlements reflect contracted commission and fee terms.,"Monthly, the Marketplace Finance Analyst recalculates a risk-based sample of seller settlements against contracted commission rates and reconciles the seller payable balance to the platform ledger, with Controller review of the reconciliation.",Detective,IT-Dependent Manual,Monthly,"A/V, C",Control Activities,Yes,No,Financial Controller,Commercial staff who negotiate seller terms do not calculate settlements.,Inspect the settlement calculation logic and reconciliation template.,"For a sample of months, recompute settlements to contract and agree the payable to the ledger.",Monthly seller settlement runs and reconciliations,3 of 12 months
FMC-01,FMCG and consumer goods,Trade Spend,Trade Promotions and Deductions,R-FMC-01,"Trade promotion accruals are understated and customer deductions are settled without validation, overstating net revenue.",High,Ensure trade spend is accrued when the promotion is run and deductions are validated before settlement.,"Monthly, the Trade Finance Manager accrues promotional spend from approved promotion plans and shipment volumes, and customer deductions are matched to an approved promotion before clearing; unmatched deductions above threshold are disputed and escalated.",Detective,IT-Dependent Manual,Monthly,"C, CO, A/V",Control Activities,Yes,Yes,Trade Finance Manager,Sales staff approving promotions do not clear the related customer deductions.,Inspect the accrual methodology and the deduction matching and dispute workflow.,"For a sample of months, re-perform the accrual and trace a sample of cleared deductions to approved promotions.",Monthly trade accruals and deduction clearing records,3 of 12 months
FMC-02,FMCG and consumer goods,Distribution,Distributor Sales and Channel Stuffing,R-FMC-02,"Sales are pushed into the distributor channel at period end beyond genuine demand, pulling forward revenue that later reverses as returns.",High,Ensure revenue reflects genuine sell-through and period-end shipment patterns are scrutinised.,"Monthly, the Commercial Controller analyses shipment volumes in the final week against the period average by distributor, reviews distributor inventory and sell-through data, and material period-end spikes require documented commercial justification approved by the Chief Financial Officer.",Detective,IT-Dependent Manual,Monthly,"CO, E/O",Control Activities,Yes,Yes,Commercial Controller,Sales leadership whose targets are affected do not approve their own justification.,"Inspect the analysis methodology, sell-through data source and escalation criteria.","For a sample of period ends, re-perform the shipment pattern analysis and inspect justification and approval.",Monthly period-end shipment analyses,3 of 12 months
FMC-03,FMCG and consumer goods,Quality & Product Safety,Product Recall and Traceability,R-FMC-03,"A contaminated or defective batch cannot be traced and withdrawn quickly, extending consumer harm and financial exposure.",High,Ensure batch traceability is maintained end to end and recall capability is tested.,"Batch codes are captured at production, warehousing and despatch, and the Quality Director performs a documented mock recall at least annually, tracing a batch forward to customers and back to raw materials within the target time, with gaps remediated.",Preventive,IT-Dependent Manual,Annual,"C, E/O",Risk Assessment,Yes,No,Quality Director,The mock recall is assessed by quality assurance independently of the operations team executing it.,Inspect the traceability design and the mock recall procedure and target times.,Obtain the most recent mock recall report; re-perform the trace for one batch and test remediation of identified gaps.,Annual mock recall exercises,1 of 1
FMC-04,FMCG and consumer goods,Inventory & Costing,Short-Dated and Expired Stock,R-FMC-04,"Finished goods approaching expiry are not provided for or withdrawn, overstating inventory and risking sale of out-of-date product.",Medium,"Ensure short-dated and expired stock is identified, provided for and withdrawn from sale.","Weekly, the Supply Chain Planner reviews the stock ageing and shelf-life report, blocks stock inside the minimum remaining-life window from despatch in the system, and Finance provides for short-dated stock monthly with Controller approval.",Detective,IT-Dependent Manual,Weekly,"A/V, E/O",Control Activities,Yes,No,Financial Controller,Planners blocking stock do not approve the resulting provision.,Inspect the shelf-life blocking configuration and the provisioning policy.,"For a sample of periods, test that blocked stock was not despatched and re-perform the provision.",Weekly shelf-life reports and monthly provisions,25 of 52 weeks
UTL-01,"Utilities, power and water",Customer Operations,Metering and Unbilled Revenue,R-UTL-01,"Consumption is estimated rather than metered and the unbilled revenue accrual is unsupported, misstating revenue.",High,Ensure billed consumption reflects metered usage and unbilled revenue is supportable.,"Monthly, the Revenue Assurance Manager reconciles energy delivered into the network to energy billed plus estimated unbilled plus technical losses, and reviews the proportion of accounts on estimated reads with the Controller approving the unbilled accrual.",Detective,IT-Dependent Manual,Monthly,"C, CO, A/V",Control Activities,Yes,No,Revenue Assurance Manager,Metering operations staff do not prepare or approve the revenue accrual.,Inspect the energy balance methodology and the unbilled accrual basis.,"For a sample of months, re-perform the energy balance and recompute the unbilled accrual.",Monthly energy balances and unbilled accruals,3 of 12 months
UTL-02,"Utilities, power and water",Regulated Operations,Regulatory Reporting and Tariffs,R-UTL-02,"Tariffs are applied outside the regulator-approved schedule, or regulatory returns misstate performance, triggering penalties and rebates.",High,Ensure customer tariffs and regulatory submissions comply with the approved determination.,"Tariff changes are configured only from the regulator-approved schedule with independent verification of the configuration before activation, and the Regulatory Affairs Manager reviews each periodic return against source data before submission.",Preventive,IT-Dependent Manual,Event Driven,"A/V, P&D",Control Activities,Yes,No,Head of Regulatory Affairs,The person configuring the tariff table does not verify or activate it.,Inspect the tariff change procedure and the return review protocol.,"For all tariff changes in the period, agree configuration to the approved schedule and inspect independent verification.",Tariff change records and regulatory submissions,All changes in the period
UTL-03,"Utilities, power and water",Asset Management,Capital Works and Asset Capitalisation,R-UTL-03,"Network capital projects are capitalised before assets are commissioned, or overhead is over-absorbed into capital, overstating the asset base.",High,Ensure network assets are capitalised only when available for use and at supportable cost.,"Monthly, the Fixed Asset Manager reviews work in progress ageing and evidence of commissioning before transferring projects to fixed assets, and the overhead absorption rate applied to capital is approved annually by the Controller.",Detective,IT-Dependent Manual,Monthly,"E/O, A/V, CO",Control Activities,Yes,No,Fixed Asset Manager,Project engineers confirming commissioning are independent of the capitalisation posting.,"Inspect the capitalisation policy, WIP ageing review and overhead rate approval.","For a sample of transfers, agree to commissioning evidence and recompute overhead absorbed.",Monthly WIP reviews and capitalisation transfers,25 transfers
UTL-04,"Utilities, power and water",Trading & Commodity,Energy Trading and Position Limits,R-UTL-04,"Energy trading positions breach approved risk limits, or trades are mispriced against the market curve.",High,Ensure trading operates within approved limits and positions are independently valued.,"Daily, the independent Risk Control function revalues open positions against an externally sourced forward curve, reports exposures against board-approved limits, and breaches are escalated same day to the Chief Risk Officer.",Detective,IT-Dependent Manual,Daily,"A/V, E/O",Control Activities,Yes,Yes,Chief Risk Officer,Risk Control is organisationally independent of the trading desk it monitors.,"Inspect the limit framework, curve sourcing and escalation protocol.","For a sample of days, re-perform the revaluation and inspect breach escalation evidence.",Daily position and limit reports,25 days
TEL-01,Telecommunications,Service Revenue,"Rating, Mediation and Revenue Assurance",R-TEL-01,"Usage records are lost or mis-rated between the network and billing, so services delivered are never billed.",High,Ensure usage captured by the network is completely and accurately rated and billed.,"Daily, the Revenue Assurance team reconciles call and data records from network elements through mediation to the billing system, investigating record loss above tolerance, and reports leakage monthly to the Chief Financial Officer.",Detective,IT-Dependent Manual,Daily,"C, A/V",Control Activities,Yes,No,Head of Revenue Assurance,Revenue Assurance is independent of network operations and billing.,"Inspect the end-to-end reconciliation design, tolerance levels and escalation route.","For a sample of days, re-perform the record count reconciliation and inspect investigation of variances.",Daily mediation reconciliations,25 days
TEL-02,Telecommunications,Service Revenue,Interconnect and Roaming Settlement,R-TEL-02,Amounts due from other operators for interconnect and roaming traffic are understated or not disputed within the settlement window.,High,"Ensure interconnect and roaming balances are complete, agreed and settled on time.","Monthly, the Interconnect Manager reconciles outgoing and incoming traffic to partner operator statements, raises disputes within the contractual window, and the Controller reviews the ageing of unresolved disputes and related provisions.",Detective,IT-Dependent Manual,Monthly,"C, A/V, E/O",Control Activities,Yes,No,Financial Controller,The person raising disputes does not approve write-offs of disputed balances.,Inspect the settlement reconciliation process and dispute window monitoring.,"For a sample of months, agree balances to partner statements and inspect dispute records and provisions.",Monthly interconnect and roaming reconciliations,3 of 12 months
TEL-03,Telecommunications,Customer Operations,Subscriber Provisioning and Credit,R-TEL-03,"Services are activated for subscribers who fail credit vetting, or remain active long after non-payment, inflating receivables and bad debt.",High,Ensure activation follows credit policy and non-paying subscribers are suspended on schedule.,"The provisioning system enforces a credit decision before activation, and the dunning process automatically restricts and then suspends services at the policy-defined ageing points; manual overrides require Credit Manager approval and are reported monthly.",Preventive,IT-Dependent Manual,Per Transaction,"E/O, A/V",Control Activities,Yes,Yes,Credit Manager,Sales staff cannot override a credit decision or delay suspension.,Inspect the credit workflow configuration and dunning rule set.,Select a sample of activations and overrides; agree to credit decisions and approvals; test suspension timing against policy.,Activations and dunning overrides in the period,40 items
TEL-04,Telecommunications,Network & Infrastructure,Network Asset Capitalisation and Impairment,R-TEL-04,"Network equipment that is decommissioned or superseded by technology change remains on the balance sheet, overstating assets.",Medium,Ensure network assets reflect equipment actually deployed and in service.,"Annually, Network Engineering performs a physical verification of deployed network elements against the fixed asset register, and assets identified as decommissioned or obsolete are retired or impaired with Controller approval.",Detective,Manual,Annual,"E/O, A/V",Control Activities,Yes,No,Financial Controller,Engineering verifies existence; Finance independently posts retirements and impairments.,Inspect the verification programme and retirement approval process.,Obtain the most recent verification; test exceptions through to retirement or impairment postings.,Annual network asset verifications,1 of 1
HR-01,All industries,Human Resources,Employee Master Data,R-HR-01,"Unauthorised changes to employee master data — salary, bank details, status — result in incorrect or fraudulent payments.",High,Ensure changes to employee master data are authorised and independently verified before they affect pay.,"All changes to salary, bank details and employment status are entered by HR Operations from an authorised change form and independently verified against source documentation by a second HR officer before the next payroll run; a system-generated change report is reviewed by the HR Manager each period.",Preventive,IT-Dependent Manual,Per Transaction,"E/O, A/V",Control Activities,Yes,Yes,HR Operations Manager,"The person entering the master data change cannot verify or approve it, and neither may release the payroll payment.","Inspect the change authorisation form, verification requirement and the period-end change report.",Select a sample of master data changes; agree each to an authorised form and evidence of independent verification.,All employee master data changes in the period,40 changes
HR-02,All industries,Human Resources,Incentive and Bonus Accrual,R-HR-02,"Bonus and incentive accruals are not supported by approved plans or actual performance outcomes, misstating employment costs.",Medium,Ensure incentive accruals reflect approved plan terms and the current performance outcome.,"Quarterly, the Reward Manager calculates the incentive accrual from approved plan rules and the latest performance forecast, and the Financial Controller reviews the calculation against plan documentation and prior-period trends before posting.",Detective,Manual,Quarterly,"C, A/V",Control Activities,Yes,No,Financial Controller,The preparer of the accrual is not a participant in the plan being accrued.,"Inspect the accrual methodology, plan documentation and evidence of Controller review.","For a sample of quarters, re-perform the accrual from plan rules and performance data.",Quarterly incentive accrual calculations,2 of 4 quarters
HR-03,All industries,Human Resources,Termination and Severance,R-HR-03,"Severance and termination payments are made outside policy or delegated authority, or leavers continue to be paid after their exit date.",High,"Ensure termination payments are authorised, calculated correctly, and that pay ceases on the exit date.","Termination payments are calculated by HR from the employment contract and policy, approved at the authority level set by value, and a leaver exception report comparing termination dates to the payroll master is reviewed by the HR Manager before each payroll run.",Preventive,IT-Dependent Manual,Per Transaction,"E/O, A/V, CO",Control Activities,Yes,Yes,HR Director,The manager initiating the termination does not approve the settlement amount alone.,Inspect the severance authority matrix and the leaver exception report design.,"Select a sample of terminations; recompute the settlement, agree the approval, and test that pay ceased on the exit date.",All terminations in the period,25 terminations
TL-REV-01,Transportation and logistics,Freight Revenue & Billing,Revenue Recognition,R-TL-REV-01,"Freight revenue is recognised on despatch rather than over the transit period, overstating revenue at period end for shipments still in transit.",High,"Ensure freight revenue is recognised as the performance obligation is satisfied, with in-transit shipments deferred.","At each month end the Revenue Accounting Manager calculates the in-transit revenue deferral using the delivered-versus-despatched shipment report and average transit days by lane, and reviews the calculation against the prior month and volume trends before posting.",Detective,IT-Dependent Manual,Monthly,"CO, A/V",Control Activities,Yes,No,Revenue Accounting Manager,Preparer of the deferral calculation is independent of operations reporting shipment status.,Inspect the deferral methodology and confirm it reflects the transit-period recognition policy under IFRS 15 / ASC 606.,"For a sample of months, re-perform the deferral using the underlying shipment report and agree the journal entry posted.",Monthly in-transit deferral calculations and supporting shipment reports,3 of 12 months
TL-REV-02,Transportation and logistics,Freight Revenue & Billing,Fuel Surcharge,R-TL-REV-02,"Fuel surcharge is billed at a rate inconsistent with the published index or the contractual cap, misstating revenue.",Medium,Ensure the fuel surcharge applied in billing agrees to the published index and contractual terms.,"Weekly, the Pricing Analyst updates the fuel surcharge table from the published index and a second analyst independently agrees the uploaded rate to the index source before the table is activated in the rate engine.",Preventive,IT-Dependent Manual,Weekly,A/V,Control Activities,Yes,No,Pricing Manager,Preparer of the rate upload cannot approve activation of the rate table.,Inspect the surcharge procedure and rate engine configuration confirming dual sign-off before activation.,Select a sample of weeks; agree the activated surcharge rate to the published index and inspect independent review evidence.,Weekly fuel surcharge table updates,25 of 52 weeks
TL-REV-03,Transportation and logistics,Freight Revenue & Billing,Unbilled Revenue,R-TL-REV-03,"Delivered shipments remain unbilled at period end and unbilled revenue is not accrued, understating revenue and receivables.",High,Ensure all delivered but uninvoiced shipments are identified and accrued at period end.,"At month end the Billing Manager reviews the aged unbilled shipment report, investigates items ageing beyond five days, and the Controller reviews and approves the resulting unbilled revenue accrual.",Detective,IT-Dependent Manual,Monthly,"C, A/V",Control Activities,Yes,No,Controller,Billing staff resolving unbilled items do not approve the accrual.,Inspect the unbilled reporting process and evidence of Controller review and approval.,"For a sample of months, agree the accrual to the aged unbilled report and inspect investigation of aged items.",Monthly unbilled shipment reports and accrual journals,3 of 12 months
TL-COST-01,Transportation and logistics,Network Operations,Purchased Transportation Accrual,R-TL-COST-01,"Purchased transportation costs for moves completed but not yet invoiced by carriers are omitted, understating cost of sales.",High,Ensure accrued purchased transportation is complete and based on contracted rates.,"At month end the Transportation Controller accrues purchased transportation for completed loads without carrier invoices, valued at the rate confirmation, and reviews the accrual against subsequent invoicing in the following month (lookback analysis).",Detective,IT-Dependent Manual,Monthly,"C, CO",Control Activities,Yes,No,Transportation Controller,Operations staff confirming load completion are independent of the accrual preparer.,Inspect the accrual methodology and the lookback analysis comparing prior accruals to actual invoices.,Re-perform the accrual for a sample of months from the completed-load report and rate confirmations; review lookback variances.,Monthly purchased transportation accruals and lookback analyses,3 of 12 months
TL-CLM-01,Transportation and logistics,Cargo Claims,Claims Provision,R-TL-CLM-01,The provision for cargo loss and damage claims is understated because reported incidents are not fully captured or are valued below expected settlement.,Medium,Ensure the cargo claims provision reflects all reported incidents at an appropriate estimate of settlement value.,"Quarterly, the Claims Manager reconciles the claims register to the OS&D incident log and to the general ledger provision, and the Controller reviews the actuarial or historical settlement-ratio assumption applied to open claims.",Detective,Manual,Quarterly,"C, A/V",Control Activities,Yes,No,Controller,Claims handlers who set individual reserves do not approve the aggregate provision assumption.,Inspect the reconciliation template and evidence of Controller review of the settlement assumption.,"For a sample of quarters, re-perform the reconciliation and recompute the provision using the approved settlement ratio.",Quarterly claims reconciliations and provision calculations,2 of 4 quarters
TL-FA-01,Transportation and logistics,Fleet & Asset Management,Fleet Depreciation & Residuals,R-TL-FA-01,"Vehicle useful lives and residual values are not revised for changes in fleet strategy or used-vehicle markets, misstating depreciation.",Medium,Ensure fleet useful lives and residual values remain supportable and are reviewed at least annually.,Annually the Fixed Asset Manager compares realised disposal proceeds against carried residual values by vehicle class and presents proposed revisions to the Controller for approval before the depreciation run is updated.,Detective,IT-Dependent Manual,Annual,A/V,Control Activities,Yes,No,Fixed Asset Manager,Preparer of the residual analysis does not approve the change to master data.,Inspect the annual review procedure and evidence of Controller approval of assumption changes.,Obtain the most recent review; recompute the proceeds-to-residual comparison and agree approved changes to the asset master.,Annual fleet residual value reviews,1 of 1
P2P-01,All industries,Procure to Pay,Vendor Master,R-P2P-01,"Fictitious or unauthorised vendors are created in the vendor master, enabling payments for goods or services never received.",High,Ensure all vendor master additions and changes are validated and authorised before activation.,All new vendors and changes to existing vendor bank details are independently verified against supporting documentation and approved by the Vendor Master Supervisor before the record is activated in the ERP.,Preventive,IT-Dependent Manual,Per Transaction,"E/O, R&O",Control Activities,Yes,Yes,Vendor Master Supervisor,Requestor of a vendor change must not be the approver; neither may process payments.,Inspect the vendor maintenance procedure and ERP workflow configuration to confirm approval is required before activation.,Select a sample of vendor additions and bank detail changes; inspect evidence of independent verification and approval prior to activation.,ERP vendor master change log for the period,"25 (per transaction, manual)"
P2P-02,All industries,Procure to Pay,Vendor Master,R-P2P-02,"Dormant, duplicate or superseded vendor records remain active and are used to route improper payments.",Medium,Ensure the vendor master remains accurate and free of duplicate or dormant records.,"The AP Manager performs a quarterly review of the vendor master for duplicates, dormant vendors and incomplete records, and initiates deactivation where required. Review is evidenced and retained.",Detective,Manual,Quarterly,"E/O, A/V",Monitoring Activities,No,Yes,Accounts Payable Manager,Reviewer must be independent of vendor master maintenance.,"Inspect the review template and confirm it addresses duplicates, dormancy and completeness.","For each quarter in the period, inspect the completed review, exceptions identified, and evidence of follow-up action.",Quarterly vendor master review files,All quarters in period (4)
P2P-03,All industries,Procure to Pay,Access & SoD,R-P2P-03,"A single individual can create a vendor and release a payment to it, allowing undetected misappropriation.",High,Ensure incompatible duties within the purchasing and payment cycle are segregated in the ERP.,ERP role configuration prevents any single user from holding both vendor master maintenance and payment release entitlements. Conflicts are blocked at role assignment.,Preventive,Automated,Per Transaction,"E/O, R&O",Control Activities,Yes,Yes,IT Security / ERP Access Administrator,This control is itself the segregation mechanism; changes to the SoD ruleset require independent approval.,Inspect the SoD ruleset configuration and confirm the conflict pair is defined and set to block rather than warn.,"Attempt assignment of a conflicting role in a test client, or inspect system evidence that conflicting assignments were rejected during the period. Inspect any approved mitigating-control exceptions.",ERP role conflict report and access change log,Full population (automated) plus all exceptions
P2P-04,All industries,Procure to Pay,Requisition,R-P2P-04,"Goods or services are committed without authorisation, resulting in unapproved expenditure.",Medium,Ensure all purchase requisitions are approved in accordance with the delegation of authority.,The ERP workflow routes every purchase requisition for electronic approval according to the delegation of authority matrix based on value and cost centre. Requisitions cannot convert to a purchase order without approval.,Preventive,Automated,Per Transaction,"E/O, A/V",Control Activities,Yes,No,Procurement Manager,Requestor cannot self-approve; workflow enforces a different approver.,Inspect the delegation of authority matrix and reconcile approval thresholds configured in the workflow to it.,Select a sample of requisitions across value bands; inspect system approval history for approval by an authorised approver prior to PO creation. Test the configuration for a low and high value band.,ERP requisition table for the period,"25 configuration-supported, or full population testing"
P2P-05,All industries,Procure to Pay,Purchase Order,R-P2P-05,"Purchase orders are issued without an approved requisition, bypassing the authorisation process.",Medium,Ensure purchase orders originate only from approved requisitions.,The ERP prevents creation of a purchase order that is not linked to an approved requisition. Free-text POs are disabled for all users other than an approved emergency-purchase role.,Preventive,Automated,Per Transaction,E/O,Control Activities,Yes,No,Procurement Manager,Emergency-purchase role holders must not approve their own POs.,Inspect ERP configuration confirming the requisition-to-PO link is mandatory.,Inspect a system-generated listing of POs without a linked requisition for the period and evaluate each. Re-perform by attempting PO creation without a requisition.,ERP purchase order table,Full population exception report
P2P-06,All industries,Procure to Pay,Invoice Processing,R-P2P-06,"Invoices are paid for goods or services not ordered or not received, or at incorrect prices or quantities.",High,Ensure invoices are matched to an approved purchase order and evidence of receipt before payment.,"The ERP performs an automated three-way match of purchase order, goods receipt and supplier invoice. Invoices failing the match are blocked from payment and routed to an exception queue.",Preventive,Automated,Per Transaction,"E/O, C, A/V",Control Activities,Yes,Yes,Accounts Payable Manager,AP processors cannot override a match block; override requires AP Manager entitlement.,"Inspect the match configuration, including which document types are subject to match and the block behaviour on failure.",Re-perform the match on a sample of invoices. Inspect the exception queue for the period to confirm blocked invoices were not released without resolution.,ERP invoice register and match exception log,"25, plus full review of overrides"
P2P-07,All industries,Procure to Pay,Invoice Processing,R-P2P-07,"Match tolerances are set too wide or exceptions are cleared without investigation, allowing overpayment.",Medium,Ensure match exceptions and tolerance settings are reviewed and resolved appropriately.,"Match tolerance parameters are configured centrally and changes require approval. The AP Manager reviews and clears the match exception report weekly, evidencing investigation and resolution of each item.",Detective,IT-Dependent Manual,Weekly,A/V,Control Activities,Yes,Yes,Accounts Payable Manager,Reviewer must be independent of invoice entry.,Inspect the tolerance configuration and the change-approval process. Inspect the exception review template.,Select a sample of weekly reviews; inspect evidence of investigation and resolution. Inspect all tolerance parameter changes in the period for approval.,Weekly match exception reports; tolerance change log,"25 weeks, or all if fewer"
P2P-08,All industries,Procure to Pay,Goods Receipt,R-P2P-08,"Goods or services received are not recorded, understating liabilities and expenses in the correct period.",High,Ensure receipts are recorded completely and in the period in which they occur.,Warehouse personnel record goods receipt in the ERP against the purchase order at the point of delivery. The ERP records the receipt date independently of the user-entered date.,Preventive,IT-Dependent Manual,Per Transaction,"C, CO",Control Activities,Yes,No,Warehouse Supervisor,Receiving function segregated from purchasing and from invoice approval.,Inspect the receiving procedure and confirm system date capture is independent of user entry.,Select a sample of deliveries from carrier documentation and trace to timely recording in the ERP. Test period-end cutoff either side of the reporting date.,Goods receipt table; carrier delivery documentation,"25, plus cutoff testing at period end"
P2P-09,All industries,Procure to Pay,Invoice Processing,R-P2P-09,"Duplicate invoices are entered and paid twice, overstating expenses and cash outflows.",Medium,Ensure duplicate invoices are prevented from being recorded.,"The ERP blocks entry of an invoice where vendor, invoice number, date and amount match an existing document. Blocked entries are logged and require AP Manager review to release.",Preventive,Automated,Per Transaction,"E/O, A/V",Control Activities,Yes,Yes,Accounts Payable Manager,Releasing a duplicate block requires an entitlement not held by invoice processors.,"Inspect the duplicate check configuration, including which fields form the match key.",Attempt entry of a known duplicate in a test client. Inspect the log of blocked and released duplicates for the period and evaluate each release.,ERP duplicate block log,Full population of releases
P2P-10,All industries,Procure to Pay,Invoice Processing,R-P2P-10,Invoices without a purchase order are approved by individuals without appropriate authority.,High,Ensure non-PO invoices are approved in line with the delegation of authority.,"Non-PO invoices are routed through the ERP workflow for approval by cost centre owner and, above threshold, by a second approver, in accordance with the delegation of authority matrix.",Preventive,IT-Dependent Manual,Per Transaction,"E/O, A/V",Control Activities,Yes,Yes,Financial Controller,Approver cannot be the invoice requestor or the payment releaser.,Reconcile workflow approval thresholds to the delegation of authority matrix.,Select a sample of non-PO invoices across value bands; inspect approval history for approval by an authorised approver prior to payment.,ERP non-PO invoice listing,25 across value bands
P2P-11,All industries,Procure to Pay,Period End,R-P2P-11,"Goods received but not invoiced at period end are not accrued, understating liabilities.",High,Ensure the goods received not invoiced accrual is complete and accurate at each period end.,"At each month end the Financial Accountant prepares the GR/IR accrual from the system-generated aged goods-received-not-invoiced report, investigates aged items, and the Financial Controller reviews and approves the accrual and supporting reconciliation.",Detective,IT-Dependent Manual,Monthly,"C, A/V, CO",Control Activities,Yes,No,Financial Controller,Preparer and reviewer must be different individuals.,Inspect the accrual methodology and the aged GR/IR report definition.,"Select a sample of month ends; re-perform the accrual calculation from the underlying report and inspect evidence of review and approval, including investigation of aged items.",Monthly GR/IR reports and accrual workpapers,3 to 5 month ends
P2P-12,All industries,Procure to Pay,Period End,R-P2P-12,"The accounts payable subledger does not agree to the general ledger, indicating unrecorded or erroneous transactions.",High,Ensure the AP subledger reconciles to the general ledger each period.,"The Financial Accountant reconciles the AP subledger to the general ledger control account monthly. Reconciling items are identified, explained and cleared. The Financial Controller reviews and approves the reconciliation.",Detective,IT-Dependent Manual,Monthly,"C, A/V",Control Activities,Yes,No,Financial Controller,Preparer independent of reviewer; neither posts manual journals to the AP control account.,Inspect the reconciliation template and the threshold for investigating reconciling items.,"Select a sample of monthly reconciliations; verify mathematical accuracy, agreement to source reports, ageing and clearance of reconciling items, and evidence of timely review.",Monthly AP reconciliations,3 to 5 month ends
P2P-13,All industries,Procure to Pay,Disbursement,R-P2P-13,"Payments are released for invoices that are unapproved, altered or fraudulent.",High,Ensure payment runs are reviewed and authorised before release to the bank.,"Prior to release, the Treasury Manager reviews the payment proposal against supporting approved invoices and authorises the run. Release to the bank requires dual authorisation by two nominated signatories.",Preventive,IT-Dependent Manual,Per Transaction,"E/O, A/V, R&O",Control Activities,Yes,Yes,Treasury Manager,Payment releasers must not maintain vendor master data or process invoices.,Inspect the payment authorisation procedure and bank mandate confirming dual authorisation limits.,Select a sample of payment runs; inspect evidence of review against supporting invoices and dual authorisation prior to transmission.,Payment run listings and bank authorisation records,25 payment runs
