Reference,Industry,Process,Sub-process,Risk,Why this matters,Risk rating,Risk category,Audit objective,What to review,Procedures,Red flags,Evidence to request,Measures
IA-TEL-02,Telecommunications,Network & Infrastructure,Network Resilience and Change Management,"A poorly controlled network change causes a major service outage, with regulatory reporting obligations and customer compensation following.","A badly controlled network change can take service down for millions of customers, and that has to be reported to the regulator.",High,IT,Assess whether network changes are controlled and whether resilience and recovery capability is proven rather than assumed.,"1. Change approval, testing and back-out planning
2. Emergency change usage and retrospective approval
3. Single points of failure in core network
4. Disaster recovery and failover testing
5. Major incident reporting to the regulator","1. Sample network changes and test for approval, testing evidence and a documented back-out plan.
2. Quantify emergency changes as a proportion of all changes and test whether retrospective approval occurred.
3. Review the most recent failover or disaster recovery test and confirm it exercised a genuine failover, not a tabletop walkthrough.
4. Trace major incidents to root-cause analysis, regulatory notification within the required window, and corrective action closure.","1. Emergency changes used routinely to bypass approval
2. Back-out plans stated as ""restore from backup"" with no detail
3. DR tests deferred or scoped to non-critical systems
4. Repeat incidents with the same root cause","1. Change management records
2. Emergency change log
3. DR test reports
4. Major incident and regulatory notification records","1. Emergency changes as % of total
2. Change failure rate
3. Time to regulatory notification"
IA-X-06,All industries,Inventory & Costing,Stock Accuracy and Valuation,"Recorded inventory does not reflect what is physically held or what it is genuinely worth, misstating both the balance sheet and margin.","Stock is often the largest number on the balance sheet, and it is only worth what it can actually be sold for.",High,Financial,"Verify that inventory exists, is owned, is counted accurately, and is valued at the lower of cost and net realisable value.","1. Count programme coverage, independence and adjustment approval
2. Goods in transit and consignment stock ownership
3. Cost build-up and overhead absorption
4. Net realisable value testing on slow-moving and damaged stock
5. Third-party locations and stock held by others","1. Attend counts at a sample of locations; re-perform test counts in both directions, floor to sheet and sheet to floor.
2. Test cut-off around the period end for goods received and despatched.
3. Obtain confirmations for stock held at third parties and reconcile to the ledger.
4. Recompute the cost build-up for a sample of items including overhead absorption, and compare cost to recent selling prices net of costs to sell.
5. Analyse adjustment postings for entries made outside the count process.","1. Adjustments posted just after a count to restore the book figure
2. Consignment stock recorded as owned
3. Overhead absorption rates unchanged despite volume shifts
4. Locations never selected for count","1. Inventory listings by location
2. Count sheets and adjustment postings
3. Third-party stock confirmations
4. Cost build-up files
5. Recent sales price data","1. Count accuracy %
2. Adjustment value as % of inventory
3. Inventory turns"
IA-X-07,All industries,Fixed Assets,Capital Projects and Asset Existence,"Capital spend is approved on optimistic business cases, overruns without escalation, and assets on the register can no longer be located.","Big capital projects get approved on promises, and almost nobody goes back to check whether the promises came true.",Medium,Operational,"Assess whether capital investment is authorised, controlled against budget, and whether recorded assets physically exist.","1. Business case quality and post-implementation review
2. Approval authority and project change control
3. Capitalisation timing and classification
4. Physical verification programme
5. Disposals, transfers and idle assets","1. Select major projects and compare approved business case benefits to post-implementation actuals; test whether reviews are performed at all.
2. Test overruns against the re-approval threshold and inspect evidence of escalation.
3. Physically verify a sample of recorded assets and, in reverse, trace observed assets back to the register.
4. Test the capitalisation date against evidence the asset was available for use.
5. Review idle and fully depreciated assets still in service for impairment or life reassessment.","1. Post-implementation reviews never performed
2. Projects split to stay under an approval threshold
3. Assets on the register nobody can locate
4. Capitalisation dated before commissioning","1. Capital approval papers and business cases
2. Project cost reports
3. Fixed asset register
4. Disposal records","1. Capital spend vs. budget
2. % projects with post-implementation review
3. Assets verified / not located"
IA-X-08,All industries,Treasury,"Cash, Banking and Financial Risk","Bank mandates, payment authority and hedging activity are not controlled, exposing the organisation to fraud and to unmanaged market risk.",Bank accounts and payment authority are the front door to the company's cash.,High,Fraud,"Confirm that banking arrangements, payment authority and treasury activity operate within board-approved mandates.","1. Bank account inventory and signatory mandates
2. Payment release authority and dual authorisation
3. Treasury policy limits on counterparty, currency and interest exposure
4. Hedging authorisation and effectiveness
5. Cash forecasting accuracy and idle balances","1. Obtain a complete list of bank accounts from the banks themselves, not from the ledger, and reconcile to the recorded accounts.
2. Test current signatory mandates against the approved authority list and identify leavers still holding authority.
3. Test that payment release genuinely requires two independent approvers, including for urgent and manual payments.
4. Compare open treasury positions to policy limits at several dates and test breach escalation.
5. Compare cash forecasts to actuals and assess forecasting discipline.","1. Bank accounts not in the ledger
2. Leavers still on mandates
3. Urgent payments routinely bypassing dual authorisation
4. Positions repeatedly at or just inside limits","1. Bank confirmations and mandate letters
2. Payment system authority configuration
3. Treasury policy and position reports
4. Cash forecasts","1. Accounts reconciled to bank confirmations
2. Payments released single-handed
3. Limit breaches per quarter"
IA-X-09,All industries,Tax,Tax Compliance and Transfer Pricing,"Returns are filed late or on incorrect positions, and intercompany pricing is not supported by documentation, leading to assessments, interest and penalties.","Filing tax late or on the wrong basis costs interest and penalties, and repeats every year until it is fixed.",Medium,Compliance,Assess whether tax obligations are identified and met on time and whether positions taken are documented and defensible.,"1. Tax obligation calendar completeness across all jurisdictions
2. Filing and payment timeliness
3. Uncertain tax positions and provisioning
4. Transfer pricing policy, documentation and actual pricing applied
5. Indirect tax coding accuracy on transactions","1. Build the obligation calendar independently from entity and jurisdiction data and compare to the one in use.
2. Test filing and payment dates against statutory deadlines and quantify interest and penalties incurred.
3. Review uncertain tax positions and test whether the provision reflects current authority correspondence.
4. Test whether intercompany transactions were actually priced per the transfer pricing policy and whether local file documentation exists.
5. Sample transactions and re-perform indirect tax coding.","1. Obligations discovered only when the authority writes
2. Penalties recurring in the same jurisdiction
3. Transfer pricing documentation prepared long after year end
4. Manual overrides of tax codes at invoice entry","1. Tax obligation calendar
2. Filed returns and payment records
3. Authority correspondence and assessments
4. Transfer pricing documentation","1. Filings on time %
2. Penalties and interest incurred
3. Jurisdictions with current TP documentation"
IA-X-10,All industries,Financial Close & Reporting,Close Quality and Manual Journals,"Manual journal entries are used to force results to expectation, and the close is completed too quickly for controls to operate meaningfully.","Manual journals are how results get adjusted at the last minute, which makes them the first place to look.",High,Fraud,"Evaluate the integrity of the financial close, focusing on manual adjustments and account reconciliation quality.","1. Manual journal authorisation, support and posting rights
2. Top-side and consolidation adjustments
3. Balance sheet reconciliation completion and review quality
4. Close timetable versus control operation
5. Estimates and accruals with judgement","1. Extract all manual journals and analyse by preparer, value, account, and posting date and time; test round-sum entries, entries posted at unusual hours, and entries to income statement accounts near period end.
2. Test that each sampled journal has support and an approver independent of the preparer.
3. Sample balance sheet reconciliations and reassess whether reconciling items are genuinely explained or simply labelled.
4. Compare journal patterns across periods to identify entries appearing only when results are close to target.","1. Journals posted after the close was reported as complete
2. Recurring entries with the description ""reclass"" and no support
3. Reconciliations signed the same day they were prepared
4. Late adjustments always moving in the favourable direction","1. Full journal entry extract with user and timestamp
2. Reconciliation files and sign-offs
3. Close timetable
4. Consolidation adjustment schedules","1. Manual journals per period
2. % journals with support
3. Reconciliations overdue"
IA-X-11,All industries,Third Party Management,Outsourcing and Vendor Oversight,"Critical activities are outsourced without contractual protection, assurance over the provider, or a viable exit, so failures land back on the organisation.","Outsourcing the work never outsources the responsibility. When the supplier fails, it is still your problem.",High,Strategic,"Assess whether third parties performing critical activities are selected, contracted and monitored proportionately to the risk they carry.","1. Inventory of third parties and criticality assessment
2. Due diligence performed before contracting
3. Contract terms — service levels, audit rights, data protection, exit
4. Ongoing assurance such as service auditor reports and site visits
5. Concentration risk and exit planning","1. Build an independent inventory of third parties from accounts payable and compare it to the register maintained by the business.
2. For critical providers, test that pre-contract due diligence was performed and documented.
3. Review contracts for audit rights, service levels, data protection and termination assistance.
4. Obtain service auditor reports for critical providers and test that complementary user controls were actually implemented.
5. Test whether exit plans exist and are credible for the most concentrated dependencies.","1. Critical providers absent from the register
2. Contracts auto-renewing without review
3. Service auditor reports received but never read
4. Exceptions in those reports with no follow-up
5. No alternative provider identified for a single point of dependency","1. Accounts payable vendor spend
2. Third-party register and criticality ratings
3. Contracts
4. Service auditor reports
5. Exit plans","1. % critical providers with current due diligence
2. Contracts with audit rights
3. Assurance reports reviewed"
IA-X-12,All industries,Human Resources,"Recruitment, Onboarding and Exit","People are hired without verification of their credentials, retain access and entitlements after leaving, and exit obligations are not enforced.","Hiring someone without checking who they are, and letting leavers keep access, are both simple failures with expensive consequences.",High,Operational,Assess whether the employee lifecycle is controlled from pre-hire screening through to exit.,"1. Pre-employment screening — identity, right to work, qualifications, references, criminal record where permitted
2. Approval of new positions against approved headcount
3. Onboarding: contract, code of conduct, mandatory training
4. Exit: access removal, asset return, final pay, restrictive covenants
5. Contractor and contingent worker treatment","1. Sample new hires and test that every required screening step was completed before the start date, not after.
2. Verify professional qualifications directly with the issuing body for roles where they are a condition of employment.
3. Reconcile headcount to approved positions and investigate roles filled without approval.
4. Sample leavers and test the elapsed time to access removal, asset return and final settlement.
5. Test whether contractors are subject to equivalent screening for equivalent access.","1. Screening completed weeks after the start date
2. Qualifications accepted on a photocopy
3. Leavers retaining building or system access
4. Contractors engaged for years through rolling short contracts
5. Exit interviews not conducted for regretted leavers","1. Employee files and screening records
2. Headcount approvals
3. Joiner and leaver reports
4. Asset registers
5. Contractor engagement records","1. % hires fully screened before start
2. Days to remove leaver access
3. Contractor tenure distribution"
IA-X-13,All industries,Human Resources,"Compensation, Performance and Culture","Pay decisions, incentives and promotions are made inconsistently, and behavioural issues are not addressed, driving turnover, grievance and conduct risk.","How people are paid and promoted drives how they behave, which shapes every other control in the business.",Medium,Strategic,Evaluate whether reward and performance processes are applied consistently and whether conduct concerns are dealt with.,"1. Salary review and promotion decision governance
2. Incentive plan design and payout calculation
3. Pay equity across comparable roles
4. Performance management completion and quality
5. Grievance, disciplinary and harassment case handling","1. Recompute a sample of incentive payouts against plan rules and approved performance outcomes.
2. Analyse pay across comparable roles for unexplained dispersion, and test the explanations offered.
3. Test performance review completion rates and read a sample for substance rather than box-ticking.
4. Review grievance and disciplinary cases for investigation independence, timeliness and consistency of outcome.
5. Compare voluntary turnover by manager and function against the organisational average.","1. Incentives paid despite unmet performance conditions
2. Turnover concentrated under specific managers
3. Grievances against senior staff investigated by their own reports
4. Performance ratings clustered with no differentiation","1. Payroll and incentive calculation files
2. Performance review records
3. Grievance and disciplinary case files
4. Turnover and exit interview data","1. Voluntary turnover by manager
2. % reviews completed
3. Grievance cases and outcomes"
IA-TL-11,Transportation and logistics,Cargo Claims,Claims Handling,"Cargo loss and damage claims are settled without investigating root cause or pursuing recovery from the carrier at fault, so the same losses recur.",Cargo claims get paid without checking whether another party was actually at fault and should be paying instead.,Medium,Operational,"Assess whether claims are validated, recovered where a third party is liable, and used to drive corrective action.","1. Claim intake, validation and settlement authority
2. Evidence required before settlement — proof of delivery, condition reports, photographs
3. Recovery from subcontracted carriers and insurers
4. Root-cause analysis and corrective action on repeat loss points
5. Claims reserve adequacy and ageing","1. Sample settled claims and test that liability was established before payment, not assumed.
2. Identify claims where a subcontracted carrier held the freight at the time of loss and test whether recovery was pursued within the contractual notice period.
3. Analyse claims by terminal, lane and commodity to locate concentrations, then test whether any corrective action followed.
4. Test the ageing of open claims and the basis for the reserve held against them.
5. Reconcile the claims register to the general ledger loss account and to insurer recoveries.","1. Claims settled below an investigation threshold that is never reviewed in aggregate
2. Recovery notice periods missed repeatedly
3. The same terminal appearing in loss concentrations quarter after quarter
4. Claims paid without proof of delivery on file","1. Claims register with reserve history
2. OS&D incident logs
3. Subcontract carrier agreements and notice terms
4. Insurer correspondence and recovery records","1. Claims paid vs. recovered
2. Loss per million shipments
3. Repeat loss locations"
IA-RTL-03,Retail chains,Customer Revenue & Loyalty,Gift Cards and Loyalty,"Gift card and loyalty balances are manipulated by staff, or breakage is recognised on an assumption that overstates income.",Gift cards and loyalty points are money the business owes customers. Assuming too much of it will never be claimed flatters profit.,High,Fraud,Assess the integrity of stored-value and loyalty balances and the support for breakage recognition.,"1. Gift card activation, reload and void controls at the till
2. Loyalty point issuance, adjustment and manual accrual rights
3. Breakage assumption and redemption history supporting it
4. Reconciliation of the liability to the issuing platform
5. Employee accounts and their transaction patterns","1. Analyse gift card activations reversed or voided shortly after issue, by operator.
2. Test manual loyalty point adjustments by user and value; sample the largest for approval and business reason.
3. Match loyalty and gift card accounts to employee records and analyse redemption behaviour on those accounts.
4. Recompute breakage using the actual redemption curve and compare to the rate recognised.
5. Reconcile the platform balance to the ledger liability at several dates.","1. Cards activated and voided in the same shift
2. Points adjusted upward immediately before redemption
3. Employee-linked accounts with outsized balances
4. Breakage rate unchanged for years despite behaviour shifts","1. Gift card and loyalty platform transaction data
2. Point adjustment logs
3. Employee master data
4. Liability reconciliations","1. Void rate by operator
2. Manual point adjustments
3. Breakage as % of issuance"
IA-BNK-03,Banking and financial institutions,Deposits & Payments,Payment Processing and Account Integrity,"Payments are processed to incorrect or fraudulent beneficiaries, and internal or dormant accounts are used to warehouse the proceeds.","Payments are where money physically leaves the bank, so this is the step a fraudster most wants to control.",High,Fraud,"Assess controls over payment execution, beneficiary integrity and the use of internal and dormant accounts.","1. Payment authorisation limits and dual control by channel
2. Beneficiary verification and confirmation-of-payee checks
3. Dormant account reactivation and monitoring
4. Internal, suspense and staff account usage
5. Payment recall and error correction process","1. Test that every payment channel enforces dual authorisation at the stated thresholds, including manual and urgent routes.
2. Analyse dormant accounts that reactivated in the period and test the first transaction on each.
3. Extract transactions on internal and staff accounts and test the business justification for the largest and most frequent.
4. Sample high-value payments and test beneficiary verification evidence.
5. Review payment errors and recalls for pattern and for whether root causes were fixed.","1. Urgent payments bypassing dual control
2. Dormant accounts reactivating just before a large credit
3. Staff accounts transacting with customer accounts
4. Beneficiary details changed shortly before payment release","1. Payment system transaction logs and authorisation configuration
2. Dormant account reports
3. Internal and staff account statements
4. Payment error and recall register","1. Payments released single-handed
2. Dormant reactivations investigated
3. Error and recall rate"
IA-AVN-03,Aviation and airlines,Fleet & Engineering,Aircraft Leasing and Return Conditions,"Aircraft are returned to lessors without meeting contractual return conditions, triggering large end-of-lease compensation claims that were never provided for.",Leased aircraft must be given back in a specified condition. That bill arrives years after the decisions that caused it.,High,Financial,Assess whether lease return obligations are tracked through the lease term and provided for on a supportable basis.,"1. Inventory of lease return conditions per aircraft
2. Tracking of maintenance status against those conditions
3. Provisioning for expected return costs
4. Records and back-to-birth traceability required at return
5. Negotiation and settlement of end-of-lease claims","1. Build a register of return conditions from the lease agreements themselves and compare it to what the business is tracking.
2. For aircraft returning within two years, compare current maintenance status to the required return condition and quantify the gap.
3. Test whether the provision reflects that gap or only scheduled maintenance.
4. Review recent lease returns and compare final settlement to the amount provided.
5. Test the completeness of component records required at return.","1. Return conditions summarised by the operator rather than read from the lease
2. Provisions based on maintenance plans, not lease terms
3. Settlements consistently exceeding provisions
4. Component records reconstructed close to the return date","1. Lease agreements and return condition schedules
2. Maintenance status reports by aircraft
3. Provision calculations
4. Prior lease return settlements","1. Aircraft with quantified return gaps
2. Settlement vs. provision variance
3. Records completeness at return"
IA-AVN-04,Aviation and airlines,Flight Revenue,Passenger Revenue Integrity,"Fare rules, refunds and interline settlements are applied incorrectly, so revenue is lost between the booking and the general ledger.",A ticket sold is not money earned until the passenger flies. Mixing those two up overstates revenue.,High,Financial,"Assess whether flown revenue is complete and correctly valued, and whether refunds and interline balances are controlled.","1. Fare rule configuration and manual fare overrides
2. Refund and reissue authority and reason codes
3. Interline and code-share settlement reconciliation
4. Agency and distribution channel commission accuracy
5. Unflown ticket expiry and residual value treatment","1. Re-price a sample of tickets from the fare rules and quantify variance to the fare actually charged.
2. Analyse refunds and reissues by agent and reason code; sample the outliers for authorisation.
3. Reconcile interline billings to the settlement clearing house statements and test disputes raised within the deadline.
4. Recompute agency commission for a sample against the distribution agreement.
5. Test the expiry and recognition of unflown tickets against the stated policy.","1. Manual fare overrides concentrated with a few agents
2. Refunds issued to a payment method other than the original
3. Interline disputes filed after the deadline
4. Expiry recognition accelerated near period end","1. Revenue accounting system extracts
2. Fare rule configuration
3. Refund and reissue logs
4. Clearing house settlement statements","1. Fare variance on re-pricing
2. Refunds by agent
3. Interline disputes recovered"
IA-HSP-03,Hospitality and hotels,Food & Beverage,Outlet Operations and Wastage,"Food and beverage margin is lost through unrecorded wastage, over-portioning, unauthorised staff meals and supplier short-delivery.","More drink leaves the bottle than the till records, and the gap is usually explained away as waste.",Medium,Operational,Identify where margin is lost between purchase and sale in food and beverage outlets.,"1. Recipe costing and portion control
2. Wastage recording and its plausibility
3. Staff meal and entertainment policy and recording
4. Goods receipt verification against delivery notes and weights
5. Void and discount patterns in the outlet point of sale","1. Observe service and compare actual portions to the costed recipe for high-volume items.
2. Compare recorded wastage across outlets and shifts; implausibly low or perfectly consistent wastage warrants challenge.
3. Test goods receipt for weight and count verification rather than signature only, for a sample of deliveries.
4. Analyse voids, discounts and staff meals by server and shift against outlet averages.
5. Reconcile theoretical to actual consumption for a sample of high-value beverage lines.","1. Wastage recorded as the same figure every week
2. Deliveries signed without verification
3. Discounts concentrated on particular shifts
4. Stock counts performed by the outlet manager alone","1. Recipe and costing files
2. Wastage logs
3. Goods receipt records and delivery notes
4. Point of sale transaction data","1. Pour cost variance
2. Wastage as % of purchases
3. Discounts per server"
IA-AVN-05,Aviation and airlines,Fuel & Hedging,Fuel Uplift and Supplier Billing,"Fuel uplifted into aircraft is not reconciled to supplier invoices, so the airline pays for volumes it never received.","Fuel is one of the largest costs an airline has, and nobody stands at the wing checking the litres against the invoice unless someone makes them.",Medium,Financial,Confirm that fuel purchased reconciles to fuel uplifted and that pricing follows the supply contract.,"1. Uplift recording at the wing and its independence from the supplier
2. Reconciliation of uplift tickets to supplier invoices
3. Contract pricing, differentials and into-plane fees
4. Density and temperature correction on volumes
5. Dispute handling with fuel suppliers","1. Reconcile uplift volumes from flight records to supplier invoiced volumes by station and quantify the difference.
2. Re-price a sample of invoices against the contract, including index differentials and into-plane fees.
3. Test whether volume corrections for temperature and density were applied consistently.
4. Review the ageing and outcome of fuel supplier disputes.","1. Uplift recorded solely from the supplier ticket
2. Persistent one-directional variances at a station
3. Fees charged that are not in the contract
4. Disputes abandoned rather than resolved","1. Flight records and uplift tickets
2. Fuel supplier invoices
3. Fuel supply contracts
4. Dispute correspondence","1. Uplift-to-invoice variance
2. Price variance to contract
3. Disputes recovered"
IA-ECM-03,E-commerce,Fulfilment,Warehouse Accuracy and Delivery Performance,"Orders are picked, packed or shipped incorrectly, generating replacement cost, refunds and customer loss that is absorbed as a cost of doing business.","Every order picked wrong costs the replacement, the delivery and often the customer.",Medium,Operational,"Assess fulfilment accuracy, the cost of getting it wrong, and whether root causes are addressed.","1. Pick and pack accuracy and verification at despatch
2. Inventory accuracy between the warehouse and the storefront
3. Carrier performance and lost parcel handling
4. Replacement and refund cost attribution
5. Returns processing and restocking accuracy","1. Quantify order defects — wrong item, missing item, damaged — and the total cost of remediation over the period.
2. Test inventory accuracy by cycle count and compare to the availability shown on the storefront; oversell indicates a control gap.
3. Analyse lost and damaged parcels by carrier and test whether claims were filed within the carrier deadline.
4. Trace a sample of returns from receipt to restock or write-off and test the valuation applied.","1. Defect cost recorded in a general expense account with no attribution
2. Overselling followed by silent cancellation
3. Carrier claims not filed
4. Returned stock restocked without inspection","1. Order defect and remediation records
2. Cycle count results
3. Carrier performance and claims data
4. Returns processing records","1. Order defect rate
2. Remediation cost per order
3. Carrier claim recovery %"
IA-ECM-04,E-commerce,Marketplace & Content,Seller Onboarding and Product Compliance,"Third-party sellers list counterfeit, unsafe or prohibited products, exposing the platform to regulatory action and liability.","On a marketplace, the platform is judged by what its sellers list, including counterfeit or unsafe goods.",High,Compliance,Assess whether sellers and their listings are vetted and monitored proportionately to the risk they carry.,"1. Seller identity verification and business registration checks
2. Prohibited and restricted product controls at listing
3. Counterfeit and intellectual property complaint handling
4. Product safety recalls and takedown speed
5. Seller performance monitoring and suspension","1. Sample sellers and test that identity and business verification was completed before listing was enabled.
2. Test the listing filters by attempting to list restricted categories in a test environment.
3. Trace a sample of intellectual property and safety complaints through to takedown and measure elapsed time.
4. Test whether sellers suspended for cause reappear under new identities by matching bank details, addresses and devices.","1. Sellers onboarded with unverified documents
2. Restricted items reachable through alternate category paths
3. Takedowns taking weeks
4. Suspended sellers returning with the same bank account","1. Seller onboarding files
2. Listing filter configuration
3. Complaint and takedown logs
4. Suspension records","1. % sellers fully verified
2. Days to takedown
3. Repeat suspended sellers"
IA-UTL-03,"Utilities, power and water",Regulated Operations,Regulatory Compliance and Reporting,"Regulatory obligations under the licence or determination are not tracked to an owner, so breaches are discovered by the regulator rather than internally.","A utility operates under a licence. Breach its conditions and the regulator, not the market, decides what happens next.",High,Compliance,"Confirm that licence and determination obligations are identified, owned, monitored and evidenced.","1. Completeness of the regulatory obligation register against the licence
2. Ownership and monitoring of each obligation
3. Accuracy of performance data submitted to the regulator
4. Self-reporting of breaches and their timeliness
5. Regulatory penalties, undertakings and remediation","1. Read the licence and determination and build an obligation list independently; compare it to the register in use and quantify the gaps.
2. Sample obligations and test for evidence of compliance in the period, not merely an assertion of compliance.
3. Re-perform the calculation of key performance measures submitted to the regulator from source data.
4. Test breach self-reporting against the required timeframe and review whether remediation commitments were delivered.","1. Obligations without a named owner
2. Performance figures that cannot be reconstructed from source
3. Breaches identified by the regulator first
4. Remediation commitments closed without evidence","1. Licence and regulatory determination
2. Obligation register
3. Submitted regulatory returns and source data
4. Regulator correspondence and penalty notices","1. Obligations with current evidence
2. Breaches self-reported vs. found
3. Remediation actions overdue"
IA-INS-03,Insurance,Reinsurance,Reinsurance Programme Effectiveness,"The reinsurance programme does not respond as expected to a large loss because cover, exclusions or aggregate limits were not understood when the risk was written.","Reinsurance is the insurance company's own insurance. If it was set up badly, the company discovers that only when a very large loss arrives.",High,Strategic,Assess whether the reinsurance programme actually covers the exposures being underwritten.,"1. Alignment between underwriting appetite and reinsurance cover
2. Exclusions, aggregate limits and reinstatement provisions
3. Placement completeness and signed slips before inception
4. Reinsurer security and credit concentration
5. Recovery process after a large loss","1. Map material underwriting exposures against the reinsurance programme and identify uncovered aggregations.
2. Test that binding slips were signed and complete before cover incepted, not retrospectively.
3. Model a large-loss scenario and trace the expected recovery through the programme including reinstatements.
4. Assess reinsurer concentration and credit ratings against policy limits.
5. Review actual recoveries from recent large losses against what was expected.","1. Cover placed after inception
2. Aggregate limits exhausted without anyone noticing
3. Reliance on a small number of reinsurers
4. Recoveries materially below expectation after a loss","1. Reinsurance treaties and slips
2. Underwriting exposure data
3. Reinsurer security policy and ratings
4. Large loss recovery records","1. Uncovered aggregation exposure
2. Slips signed pre-inception
3. Recovery vs. expected"
IA-INS-04,Insurance,Reserving,Reserve Adequacy and Governance,"Reserves are influenced by earnings pressure rather than actuarial judgement, and adverse development is not surfaced to the board on a timely basis.","The money set aside for future claims is the single biggest number in an insurer's accounts, and it is an estimate that can be leaned on.",High,Financial,Assess the independence and rigour of the reserving process and the transparency of reserve movements.,"1. Independence of the actuarial function from underwriting and claims
2. Reserving methodology, assumption setting and change control
3. Management adjustments to the actuarial central estimate
4. Reserve development triangles and back-testing
5. Reporting of adverse development to the board","1. Analyse historical reserve development and quantify how often and in which direction estimates have proved wrong.
2. Test the size, direction and justification of management adjustments to the actuarial estimate across several periods.
3. Test whether assumption changes were documented and approved before results were known.
4. Review board and committee papers for whether adverse development was reported plainly or netted against other movements.","1. Management adjustments always favourable
2. Assumption changes made after preliminary results circulate
3. Consistent adverse development in the same class of business
4. Reserving committee minutes recording no challenge","1. Actuarial reserve reports and development triangles
2. Assumption change logs
3. Reserving committee minutes
4. Board reporting packs","1. Reserve development by year
2. Management adjustment as % of estimate
3. Classes with recurring deterioration"
IA-HSP-04,Hospitality and hotels,Rooms Revenue,Revenue Management and Distribution,"Rooms are sold through channels at rates and commissions that destroy margin, and rate parity or contractual terms with distributors are breached.",A room booked through a website can cost so much in commission that the hotel makes almost nothing on it.,Medium,Financial,"Assess whether distribution channel economics are understood, controlled and compliant with distributor agreements.","1. Channel mix and net rate after commission by channel
2. Rate parity obligations and breaches
3. Commission calculation accuracy and reconciliation
4. Overbooking, walk cost and compensation
5. Group and corporate contract rate adherence","1. Recompute net revenue per room night by channel after commission and compare to the direct channel.
2. Test rate parity by comparing published rates across channels on sample dates.
3. Reconcile commission invoiced by distributors to the bookings actually delivered and recompute against the agreement.
4. Quantify walk and compensation costs from overbooking and test the authorisation for compensation paid.","1. Channels with negative contribution still receiving allocation
2. Parity breaches unnoticed until a distributor claims
3. Commission paid on cancelled bookings
4. Compensation paid without approval","1. Property management and channel manager data
2. Distributor agreements
3. Commission invoices
4. Overbooking and walk records","1. Net rate by channel
2. Parity breach incidents
3. Commission variance"
IA-FMC-03,FMCG and consumer goods,Trade Spend,Trade Investment Effectiveness,"Trade investment is committed without evidence that it generates incremental volume, and accruals are settled against claims that were never validated.","Promotional spend is one of the biggest costs in consumer goods, and much of it is paid out against claims nobody checks.",High,Financial,"Assess whether trade spend is authorised, delivered, validated and generating a return.","1. Promotion approval, expected uplift and post-event evaluation
2. Deduction and claim validation before settlement
3. Accrual accuracy and the ageing of unsettled claims
4. Customer-level profitability including all trade investment
5. Authority limits on discretionary spend","1. Select major promotions and compare actual uplift to the volume assumed in the approval; test whether any post-event evaluation occurred.
2. Sample settled customer deductions and test for a matched, approved promotion and delivery evidence.
3. Analyse the ageing of open deductions and the rate at which disputes are simply written off.
4. Recompute customer profitability including all trade investment and identify customers who are loss-making after spend.","1. Post-event evaluation performed for none of the largest promotions
2. Deductions written off once they age past a threshold
3. Spend approved by the same person who negotiates the customer relationship
4. Promotions repeated annually with no measured return","1. Promotion approvals and plans
2. Deduction and claim files
3. Trade accrual schedules
4. Customer profitability reports","1. % promotions evaluated
2. Deductions written off
3. Customers loss-making after trade spend"
IA-UTL-04,"Utilities, power and water",Trading & Commodity,Trading Conduct and Controls,"Traders conceal losses or breach limits through mispriced trades, off-market transactions or unauthorised products.","Traders can hide losses by mispricing their own positions, which is why someone independent must value them.",High,Fraud,Assess the independence and effectiveness of controls over trading activity and valuation.,"1. Independence of risk control and back office from the trading desk
2. Limit framework, monitoring and breach escalation
3. Independent price verification and off-market trade detection
4. Trader mandates, approved products and counterparties
5. Mandatory leave and trade cancellation or amendment patterns","1. Test independent price verification by re-valuing a sample of positions from an external curve.
2. Analyse trade amendments and cancellations by trader, and trades executed at prices away from the market at execution time.
3. Test limit breaches for timely escalation and for whether limits were subsequently raised rather than positions reduced.
4. Confirm mandatory leave was actually taken by all trading staff and that their books were managed by others during it.
5. Test that all traded products and counterparties are on the approved list.","1. Amendments concentrated with one trader
2. Limits raised shortly after a breach
3. Positions valued using trader-supplied marks
4. Mandatory leave waived for key staff","1. Trade capture system extracts with amendment history
2. Limit and breach reports
3. Independent price verification files
4. Leave records
5. Approved product and counterparty lists","1. Trade amendments per trader
2. Limit breaches and escalation time
3. Positions independently verified"
